epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0156,1.98055,3.53432,1.39437,0.00333,1,0.89775,0.25166,1.53886,3.83279,1.21931,0.000928571,0.000928571,0.000928571
2,115.77,1.64944,2.85284,1.35773,0.00333,1,0.61287,0.13529,1.43271,3.87174,1.2072,0.00129214,0.00129214,0.00129214
3,153.757,1.62041,2.4142,1.32403,0.00333,1,0.5101,0.18115,1.34099,3.60117,1.18423,0.00068,0.00068,0.00068
